dataset,pos_enc,test_accuracy
CLIQUE,diffusion,0.6491
CLIQUE,pstep,0.6717
CLIQUE,adj,0.6967
CLIQUE,shortest_path,0.6692
CLIQUE,graphlet,0.604
CLIQUE,coloring,0.6717
CLIQUE,no,0.6316
CLIQUE,estrada,0.6391
CLIQUE,cosine,0.2657
CLIQUE,clustering_coefficient,0.6466
CLIQUE,betweenness_centrality,0.6241
BIPARTITE,diffusion,0.9373
BIPARTITE,pstep,0.9975
BIPARTITE,adj,0.9825
BIPARTITE,shortest_path,0.9323
BIPARTITE,graphlet,0.9123
BIPARTITE,coloring,0.9549
BIPARTITE,no,0.8396
BIPARTITE,estrada,0.8246
BIPARTITE,cosine,0.8045
BIPARTITE,clustering_coefficient,1.0
BIPARTITE,betweenness_centrality,0.8596
CYCLE,diffusion,0.7469
CYCLE,pstep,0.1529
CYCLE,adj,0.6667
CYCLE,shortest_path,0.8647
CYCLE,graphlet,0.4236
CYCLE,coloring,0.4236
CYCLE,no,0.2206
CYCLE,estrada,0.3759
CYCLE,cosine,0.2907
CYCLE,clustering_coefficient,0.3283
CYCLE,betweenness_centrality,0.3383



