dataset,pos_enc,test_accuracy,val_accs,train_loss
CLIQUE,diffusion,0.6491,"[0.2375, 0.6225, 0.5975, 0.565, 0.525, 0.59, 0.615, 0.62, 0.62, 0.6275, 0.6375, 0.6575, 0.655, 0.6625, 0.6625, 0.6675]","[1.3932, 0.874, 0.8543, 0.8338, 0.8019, 0.7877, 0.7499, 0.7353, 0.7134, 0.7057, 0.695, 0.6816, 0.6762, 0.669, 0.6654, 0.6625]"
CLIQUE,pstep,0.6717,"[0.23, 0.63, 0.59, 0.6475, 0.645, 0.63, 0.6375, 0.645, 0.64, 0.6325, 0.64, 0.6525, 0.665, 0.62, 0.635, 0.6275]","[1.3927, 0.8551, 0.7647, 0.7353, 0.689, 0.65, 0.6239, 0.5796, 0.5546, 0.5303, 0.511, 0.5236, 0.4975, 0.5024, 0.4912, 0.4806]"
CLIQUE,adj,0.6967,"[0.2675, 0.5575, 0.5125, 0.5875, 0.63, 0.6425, 0.66, 0.675, 0.6925, 0.69, 0.6925, 0.6625, 0.66, 0.6725, 0.6725, 0.675]","[1.3925, 0.8327, 0.746, 0.7045, 0.6532, 0.6372, 0.6177, 0.5981, 0.577, 0.5632, 0.5506, 0.5303, 0.5198, 0.5279, 0.519, 0.5133]"
CLIQUE,shortest_path,0.6692,"[0.38, 0.5975, 0.4775, 0.5825, 0.6, 0.62, 0.6325, 0.6225, 0.645, 0.6325, 0.6325, 0.6325, 0.6425, 0.64, 0.65, 0.645]","[1.3928, 0.8759, 0.8496, 0.7757, 0.7575, 0.7574, 0.7283, 0.7339, 0.6995, 0.6904, 0.679, 0.6729, 0.669, 0.6626, 0.6588, 0.6556]"
CLIQUE,graphlet,0.604,"[0.24, 0.5525, 0.3925, 0.5825, 0.4125, 0.6175, 0.6175, 0.6225, 0.6075, 0.6175, 0.6075, 0.61, 0.6125, 0.605, 0.6025, 0.6025]","[1.3926, 0.8808, 0.8417, 0.8321, 0.8397, 0.8166, 0.8018, 0.8028, 0.7858, 0.7806, 0.7782, 0.7683, 0.7636, 0.7592, 0.7571, 0.7539]"
CLIQUE,coloring,0.6717,"[0.32, 0.575, 0.495, 0.475, 0.62, 0.63, 0.615, 0.615, 0.64, 0.6175, 0.6275, 0.6275, 0.64, 0.64, 0.64, 0.6325]","[1.3928, 0.8686, 0.8126, 0.7825, 0.7799, 0.7429, 0.7014, 0.7023, 0.6752, 0.6589, 0.6602, 0.6401, 0.6342, 0.6322, 0.6248, 0.6196]"
CLIQUE,no,0.6316,"[0.2375, 0.555, 0.4225, 0.6, 0.605, 0.6025, 0.5925, 0.6, 0.6225, 0.6175, 0.605, 0.6, 0.6, 0.6, 0.6, 0.6025]","[1.3925, 0.8712, 0.848, 0.8449, 0.8369, 0.8298, 0.8111, 0.8041, 0.796, 0.7911, 0.7883, 0.7825, 0.7789, 0.7775, 0.7742, 0.7717]"
CLIQUE,estrada,0.6391,"[0.24, 0.59, 0.5075, 0.6075, 0.605, 0.59, 0.6175, 0.6125, 0.605, 0.615, 0.6125, 0.6175, 0.6225, 0.6275, 0.6325, 0.6325]","[1.3926, 0.8727, 0.8464, 0.8236, 0.8141, 0.7992, 0.7849, 0.772, 0.7476, 0.7393, 0.7318, 0.721, 0.7148, 0.7059, 0.7025, 0.6997]"
CLIQUE,cosine,0.2657,"[0.23, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245]","[1.3939, 1.3867, 1.3865, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3864, 1.3863, 1.3863, 1.3863, 1.3863, 1.3863]"
CLIQUE,clustering_coefficient,0.6466,"[0.245, 0.5825, 0.5125, 0.585, 0.565, 0.62, 0.615, 0.615, 0.6175, 0.6225, 0.62, 0.62, 0.615, 0.6275, 0.6275, 0.625]","[1.3926, 0.8854, 0.8615, 0.837, 0.8335, 0.8324, 0.8211, 0.8179, 0.8179, 0.8174, 0.8171, 0.8145, 0.8142, 0.8126, 0.8118, 0.8115]"
